What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,When is your birthday (date)?,What is your stress level (0-100)?,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
AI,no,no,no,yes,female,18-06-1999,72,23:00,Some love from friends/fam/bf,good food
BA,yes,no,no,no,male,05-02-1998,70,2,good weather,eating
CLS,yes,no,no,yes,male,09-03-1999,69,02:00,Andrea,DMT
CS,yes,no,no,yes,female,27-08-1999,77,?,sleep ,food
CS,yes,yes,no,yes,male,11-04-1995,32,11:45,Cycling,Sunlight
BA,yes,yes,no,yes,female,01-10-1998,40,00:37,sun,meeting friends
BA,yes,no,no,no,female,,45,10,sport,call my mother
AI,no,no,no,yes,male,18-07-2000,5,23:45,Not rain ,Food
AI,yes,yes,no,yes,male,01-05-1994,10,23:30,Sun,Feeling good
AI,no,unknown,no,yes,male,15-07-1993,33,10,sleeping long,smoke weed
Bioinfo,yes,no,unknown,no,male,13-04-1999,30,00:30,Good weather,Going to the gym
Bioinfo,yes,no,no,yes,male,,50,02:00,Sunshine,Good food
CLS,no,no,no,yes,male,,10,23:30,nice weather,free money
AI,yes,yes,no,no,male,05-06-1998,70,3,good weather,good food
Other,yes,no,unknown,no,male,20-01-1995,30,23:00,Doing nothing important,Talking with friends
AI,no,no,no,no,male,,33,00:30,Sun,No responsibility
AI,yes,yes,no,yes,female,01-01-2000,81,3am,No lectures,Sunny weather
CS,yes,no,yes,yes,male,,10,5:00 PM,sunlight,No wind
AI,yes,no,no,yes,female,21-08-1996,-100,2am,Coffee,Sleep
Econometrics & Operations Research,yes,yes,no,yes,male,,0,22:22,Sun,Fun
CLS,yes,no,yes,no,male,01-08-1995,19,12,sun,sport
BA,yes,no,no,no,male,08-12-1997,50,1:00 AM,Good food,Nice whether 
AI,yes,yes,no,yes,male,14-06-1999,10,00:15,Sunny weather,Exercise
AI,yes,yes,yes,yes,male,18-12-1992,100,22,thuisbezorgd,gaming
Bioinfo,no,no,no,unknown,male,14-11-1997,80,1:00 AM,Lots of food,Going out in a sunny day
CS,yes,yes,no,yes,male,23-04-1998,80,22:00,Win lottery,Win lottery again
Bioinfo,yes,no,no,no,female,11-09-1997,0,:),sun,exercise
CLS,no,unknown,no,yes,female,03-02-1999,30,??,Weather,Good people
QRM,no,no,no,no,male,,69,23:56,Cake,Cookies
AI,no,no,no,no,male,,80,about 1am,Workout, progress in the course
AI,yes,yes,no,yes,male,,5,?,studying,learning
AI,yes,no,no,no,male,02-09-1989,80,09:00,food,sleep
Econometrics & Operations Research,yes,yes,no,yes,male,16-08-1998,25,00:15,Being productive,Listening/making music
BA,yes,yes,no,yes,female,,80,0,having a productive day,being with friends/family
CLS,no,no,no,yes,male,,12,01:30,Beer,Sleep
AI,yes,no,no,no,male,,30,1:00 AM,Nice dinner,Netflix
CS,yes,yes,no,yes,not willing to answer,,100,?,Music,Neat room
Econometrics & Operations Research,yes,no,no,yes,female,03-08-1999,25,23:30,Friends,Drinks
AI,yes,no,no,yes,female,,30,3AM,Winkel apple pie,Friends
CS,no,yes,no,yes,male,,75,7,Wake up late,breakfast
CLS,no,yes,no,no,female,24-04-1996,70,23,smiles,more smiles
AI,no,no,no,no,female,29-05-1998,30,11,Smile,Laugh
AI,no,no,no,no,female,17-02-1996,99,4,Having coffee,breakfast
CLS,no,no,no,no,female,,30,00:30,Cat,Food
HLT,yes,no,no,no,female,25-02-1998,15,2:00 AM,Sunshine,Good food
CLS,no,no,no,yes,female,02-06-1996,70,11:00 PM,insightful things,not thinking about tomorrow 
AI,no,no,no,yes,male,15-06-1998,66,03:00,A good sleep,Staying with my best friends
Econometrics & Operations Research,no,no,no,yes,male,18-08-1999,10,1:30 AM,Friends,Drinks
AI,yes,no,no,no,female,12-05-2001,87,01:45,breakfast,going outside
CS,no,no,no,yes,male,10-11-1997,50,9,Time with family and friends ,Good news 
Econometrics & Operations Research,no,yes,no,yes,male,,45.8,23,Food,Food
AI,no,no,no,yes,female,,10,23:00,Sunny,Meet friends
AI,no,no,no,no,male,14-02-1982,70,11:50pm,"Good sleep, good sport",Good study
AI,no,no,yes,no,not willing to answer,03-02-2000,100,00:15,do my thing and gym,lover's kiss
CS,no,no,yes,no,female,11-06-1997,70,00:00,A warm sunny day with no stress,I answered it already
Economics,yes,no,no,no,not willing to answer,,101,3,good,no school
Other,unknown,yes,no,yes,male,03-03-2000,50,00:30 o'clock,sunshine,drinks
BA,yes,yes,yes,yes,male,,0,00:30,Enough time for relaxing,Being productive
QRM,no,no,no,no,male,29-04-2001,Fifty,11pm,A nice calming Data Mining lecture,A cool glass of water
CLS,no,no,no,no,male,,2,12:44,food,sleep
CLS,no,no,no,no,not willing to answer,01-02-2003,50,3,Lemons,Lemonade
CLS,no,no,no,no,male,11-01-1996,50,13:30,Good sleep,Something to achieve in the day
CLS,no,no,no,no,male,,65,01:00,having fun,a nice meal
BA,yes,no,no,no,male,16-10-1990,10,00:30,Silence,Warm weather
AI,yes,no,no,no,male,,30,2350,Clear skies,Chill music
BA,yes,yes,no,yes,male,29-04-1998,0,02h00,Ether in the green,Coffee
CS,no,no,no,yes,male,,38,2300,Come up with a good question,Find a solution to the good question
CS,yes,no,yes,yes,male,09-04-1999,50,2:00 AM,A good gym session,Good food
CLS,no,no,no,yes,male,23-05-1998,80,2am,have enough sleep,make progress in anything
AI,unknown,no,no,yes,female,20-09-1995,private matters,"6 hours, plenty","happiness comes from within, but mental stimulation is always appreciated","be healthy, having a growth mindset, mental stimulation (dopamine), exercise (endorphins), hugs (oxytocin), sunlight (serotine)"
AI,yes,yes,no,yes,male,17-06-1998,42,-,Quality time spent,Being more productive 
CLS,no,no,yes,no,male,29-07-1998,10,11:30,Sex,Sex
Bioinfo,yes,no,no,no,male,04-01-1997,60,00:00,Sunny weather,No obligations
Other,no,no,yes,no,female,,20,11.2,Sunshi,Sunshine
CS,yes,unknown,yes,yes,male,22-08-1996,60,1am,Coffee in the morning,Hanging out with friends
AI,yes,yes,no,yes,male,,0,what?,no idea,still no idea
Bioinfo,no,no,no,no,male,,62,1:30AM,Getting work done ,Doing sports (climbing)
Bioinfo,yes,no,unknown,no,male,,40,01:00,Highly productive ,Time with friends 
AI,no,no,no,yes,female,,50,2.3,Sunshine,Nice food
AI,yes,yes,unknown,no,not willing to answer,01-01-1956,30,5,Yes,No
CLS,no,no,no,no,male,17-07-1995,666,555,Good food,Sleep more than 6 hours 
AI,yes,no,no,no,not willing to answer,,70,0,nice weather,good mood
BA,yes,yes,no,yes,male,12-05-1998,66,4:00 AM,-,-
